,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
16,Françoise Zannier,@psy_paris,2022-01-01T15:48:10.000Z,"Françoise Zannier
@psy_paris
·
1 Jan","#COVID19> #corruption> Les arguments favorables aux ""#vaccins"" expérimentaux s'effondrent les uns après les autres...
FranceSoir
@france_soir
 · 1 Jan
 BEST OF - ""L'idée que le vaccin protège des formes graves, doit être rejetée"", Dr Michel de Lorgeril, expert international en cardiologie et nutrition affirmait ""les études sur l'efficacité des vaccins sont des simulacres de sciences""
http://francesoir.fr/node/258862
9:57
46K views
4
3",🎙 👇,,4,3,['https://pbs.twimg.com/profile_images/1488123565237051403/GTecJJi5_mini.png'],https://twitter.com/psy_paris/status/1477305656994676737
17,Hdebonnevolonte,@Enfantdabord2,2022-01-01T13:48:42.000Z,"Hdebonnevolonte
@Enfantdabord2
·
1 Jan","#Vaccins 
Sous l’influence du matraquage de la propagande gouvernementale, le grand public croit que vaccin=protection=neutralisation. Le débat scientifique, qui aurait dû exister comme dans toute démocratie qui se respecte, n'a pas eu lieu.
francesoir.fr
""Il faut prendre conscience urgemment des problèmes de ces vaccins"" - Jean-Marc Sabatier
ENTRETIEN — Que savons-nous de l’immunité ? Comment celle-ci se mobilise-t-elle lors d’une infection ou d’une vaccination ? Qu’est-ce que l’immunité innée non spécifique ? Et l’immunité adaptative ou...
1
1",,,1,1,['https://pbs.twimg.com/card_img/1508807289477734409/med7sxTq?format=png&name=small'],https://twitter.com/Enfantdabord2/status/1477275591774720004
18,Eric Diss,@eric_diss,2022-01-01T10:58:27.000Z,"Eric Diss
@eric_diss
·
1 Jan","Archive des Crises Cardiaques chez les footballeurs !

Le compte 
@debarjac1
 répertorie les évènements liés à des soucis cardiaques chez les footballeurs professionnels.
#effetssecondaires #vaccins #PassVaccinalDeLaHonte 
#PasseVaccinal #football
1",,,,1,[],https://twitter.com/eric_diss/status/1477232747257159684
19,Marc Mauzin,@Mauzin5,2022-01-01T23:29:45.000Z,"Marc Mauzin
@Mauzin5
·
2 Jan","On aura la même chose ici...
#Covid_19 
#coronavirus 
#coronacircus 
#vaccins
@ElDictaTorOfficiel
@El_Dic_TatoR
 · 1 Jan
 Italie : La justice a rendu son verdict suite à dépôt de plainte (Appel à la loi 210/92) pour obtenir réparation, dommages et intérêts suite à un décès par vaccination (confirmé par autopsie) 
""Demande non acceptée car vaccination non obligatoire""
Show this thread
1
1",,,1,1,"['https://pbs.twimg.com/profile_images/1327341150701752321/MuLmv8xI_mini.jpg', 'https://pbs.twimg.com/media/FIDKul0WQAMVKdw?format=jpg&name=small']",https://twitter.com/Mauzin5/status/1477421819158269953
20,fernandez,@tarmo13013,2022-01-01T20:48:19.000Z,"fernandez
@tarmo13013
·
1 Jan","Ça commence à se savoir et les ayatollahs de la vaccination sont bien obligés de reconnaître les réalités dissimulés des #vaccins
Pourquoi ne pas reconnaître que ces substances ne sont pas conformes aux caractéristiques annoncées par les labos ?
Barbara78
@dragonduclos
 · 28 Dec 2021
Pr Cyrille Cohen... Après 2 doses de vaccins, l'immunité baisse et la transmission continue. 
""On le découvre car personne sur terre n'avait de l'expérience avec les vaccins ARN à long terme""
Les affirmations hasardeuses sur le recul et la sécurité de ces vaccins sont torpillées.
1
1",,,1,1,"['https://pbs.twimg.com/profile_images/828593126013009920/J0C4f6fk_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1475916577069543425/pu/img/DSN939r56VewJasa.jpg']",https://twitter.com/tarmo13013/status/1477381194463518723
21,Hdebonnevolonte,@Enfantdabord2,2022-01-01T13:39:54.000Z,"Hdebonnevolonte
@Enfantdabord2
·
1 Jan","#Vaccins
""On peut avoir des effets secondaires, par ex maladies auto-immunes ou cancers, qui vont mettre des mois à apparaître. Mais le jour où ces effets secondaires seront visibles, ce sera trop tard, car il n’est pas possible de faire marche arrière""
francesoir.fr
""Il faut prendre conscience urgemment des problèmes de ces vaccins"" - Jean-Marc Sabatier
ENTRETIEN — Que savons-nous de l’immunité ? Comment celle-ci se mobilise-t-elle lors d’une infection ou d’une vaccination ? Qu’est-ce que l’immunité innée non spécifique ? Et l’immunité adaptative ou...
2",,,2,,['https://pbs.twimg.com/card_img/1508807289477734409/med7sxTq?format=png&name=small'],https://twitter.com/Enfantdabord2/status/1477273376699858948
22,Patrick C M Carabin,@PatricarBel,2022-01-01T13:39:05.000Z,"Patrick C M Carabin
@PatricarBel
·
1 Jan","Le projet #Témoignages a été créé pour fournir une plate-forme à TOUS ceux qui ont été touchés après avoir reçu les #vaccins contre le #covid19, et pour s’assurer que leurs voix sont entendues, car elles ne sont pas entendues dans les #médias. #covid_19
vaxtestimonies.org
Le projet Témoignages | Témoignages après la vaccination contre le Covid-19
Le projet Témoignages - Témoignages après la vaccination contre le Covid-19 The Testimony Project est né pour fournir une plate-forme à tous ceux qui ont été blessés après le vaccin corona et pour...",,,,,[],https://twitter.com/PatricarBel/status/1477273171891994625
23,Procureur Décitoyennisé,@menalahy2,2022-01-01T12:47:09.000Z,"Procureur Décitoyennisé
@menalahy2
·
1 Jan","Replying to 
@Mandrinvienne
, 
@Brun01160147
 and 
@1jouroulautre
Ben 
@olivierveran
 a traité les Résistants au #Vaccins de fous ! 
On est en plein dans le #Soviétisme avec la #Psychiatrisation des opposants !
2
4",🌹 🌿 🦧 🦺,,2,4,[],https://twitter.com/menalahy2/status/1477260105213218821
24,ARMEL,@AfrikInsoumise,2022-01-01T13:28:43.000Z,"ARMEL
@AfrikInsoumise
·
1 Jan","Bonjour,
Je viens de signer la pétition « NON AU PASS VACCINAL ! ». Cette cause me tient à cœur et j’aimerais que le plus de monde possible soit au courant et signe cette pétition.
Voici le lien: http://leslignesbougent.org/petitions/non-au-pass-vaccinal-5503/…   #France #vaccins #pass #vaccinal
leslignesbougent.org
[Pétition] NON AU PASS VACCINAL !
Le pass vaccinal est une atteinte majeure à l’Etat de droit. Chers amis,  Le projet du gouvernement de transformer le pass sanitaire en pass vaccinal n’est pas une formalit&eac",,,,,['https://pbs.twimg.com/card_img/1508803585542402058/rGGn1sKf?format=png&name=240x240'],https://twitter.com/AfrikInsoumise/status/1477270562070216710
25,AlBaniAlbainPierre,@vtlau1,2022-01-01T11:13:06.000Z,"AlBaniAlbainPierre
@vtlau1
·
1 Jan","Replying to 
@vtlau1
 and 
@LCI
Ajouté à ça les 11 #vaccins pour les pitchounes c est vraiment des performances sans honneur #BigPharma #Légiondhonneur #HydroxyChloroquine Agnès Buzyn
Ceux qui acceptent la #LegionDHonneur n en ont aucun ce symbole est complètement dévoyé #PassVaccinalDeLaHonte
1
3",Ⓜ 😂 Ⓜ,,1,3,[],https://twitter.com/vtlau1/status/1477236436952924163
26,Nico,@Nicolas01011,2022-01-01T10:30:17.000Z,"Nico
@Nicolas01011
·
1 Jan","C'était un huis clos démocratique. 

#BigPharma #Vaccins #Corona
youtube.com
Les réunions secrètes de Big Pharma
Patrons de laboratoires pharmaceutiques, lobbyistes, hommes politiques... les grands acteurs du secteur de la santé se réunissent dans un lieu privé interdit...",,,,,[],https://twitter.com/Nicolas01011/status/1477225659353251844
27,Maurice BÉTRA,@BetraMaurice,2022-01-01T19:11:41.000Z,"Maurice BÉTRA
@BetraMaurice
·
1 Jan","Nüremberg
Dégoulinant d'humanité, nous nous sommes interdit d'éradiquer le Nazisme et ses adeptes jusqu'au dernier

Alors, aujourd'hui voyons refleurir
#FÜHRERPRINZIP
#Propagande #GOEBBELS
#vaccins #Mengele

Le fameux ""ARBEIT MACHT FREI""
est commué en

 VAX, PASS, MACHT FREI
Raphaël Enthoven
@Enthoven_R
 · 1 Jan
J’appelle « monstrueux » (fou et con) l’antivax qui ose les pires comparaisons.
Show this thread",🤔 ➡,,,,"['https://pbs.twimg.com/profile_images/1375792403228016644/ViAjRCS-_mini.jpg', 'https://pbs.twimg.com/media/FIAfzxJWYAAFqLf?format=jpg&name=small', 'https://pbs.twimg.com/media/FIAf216WUAI_BEY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIAf46hWUAAsQYE?format=jpg&name=360x360']",https://twitter.com/BetraMaurice/status/1477356875142381568
28,Lamuch,@muchlaf,2022-01-01T00:32:04.000Z,"Lamuch
@muchlaf
·
1 Jan","Replying to 
@CommissaireEva
 and 
@delphinebatho
Les #antivax ont + peur de #vaccins efficaces et sans risque grave qui sont contrôlés et suivis dans le  entier sur des milliards de gens que de l'ARN entier du virus mortel ou de se faire injecter des tas de produits Pharma dont on ne connait pas les risques sur la santé !",👀 🌏 👀,,,,['https://pbs.twimg.com/media/FH-f-_tXIAMQdIn?format=jpg&name=small'],https://twitter.com/muchlaf/status/1477075112708952064
29,Françoise Zannier,@psy_paris,2022-01-01T13:23:38.000Z,"Françoise Zannier
@psy_paris
·
1 Jan","Replying to 
@EmmanuelMacron
Pourquoi vouloir vacciner 100% des Français avec des produits inefficaces et svent dangereux pour 1 maladie touchant moins d'1% d'entre eux ? Où sont les études prouvant que ces ""#vaccins"" expérimentaux protègent des formes graves malgré leur échec obligeant à répéter les doses ?",,,,,"['https://pbs.twimg.com/media/FIBOfN7WYAEr9tp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIBOmh0XsAES4aU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FIBPKTAXwAM9xgj?format=jpg&name=small', 'https://pbs.twimg.com/media/FIBQSlqXMAE21QT?format=jpg&name=360x360']",https://twitter.com/psy_paris/status/1477269285726683136
30,P'S,@codePS17,2022-01-01T09:45:22.000Z,"P'S
@codePS17
·
1 Jan","Le nouveau rapport du
Robert Koch Institut #Allemand ne contient pas le tableau habituel sur l'efficacité du #vaccins
En revanche, on y trouve les infos sur le statut vaccinal de 4206 cas d'omicron :
- 4020, soit 95,58 % de vaccinés complets (dont 1137 boostés)
- 186 non vaccinés",,,,,[],https://twitter.com/codePS17/status/1477214354189737985
31,ONU Développement,@pnudfr,2022-01-01T07:30:00.000Z,"ONU Développement
@pnudfr
·
1 Jan","Le saviez-vous ? Les #vaccins, y compris contre la #COVID19, doivent être conservés au frais pour être efficaces, ce qui n'est pas possible sans une alimentation électrique fiable. Voici  choses à connaître sur l'accès à l'énergie : http://undp-climate.exposure.co/5-choses-a-savoir-sur-lacces-a-lenergie… #ODD7 #HealthForAll
1
3",,,1,3,['https://pbs.twimg.com/ext_tw_video_thumb/1476990153579184132/pu/img/kiQV7__wpROTvo7H.jpg'],https://twitter.com/pnudfr/status/1477180289805922308
32,Richard Virginie,@richardvirgin13,2022-01-01T14:31:30.000Z,"Richard Virginie
@richardvirgin13
·
1 Jan","Vivre Sainement : « Bonne nouvelle, le meilleur est à venir ». https://qactus.fr/2022/01/01/vivre-sainement-bonne-nouvelle-le-meilleur-est-a-venir/?fb_ref=Yka6ulmAnx-Twitter&utm_source=Twitter&utm_medium=ShareButton&utm_campaign=GetSocial… via 
@getsocial_io
 #epidémie #propagande #etudes #médecins #oms #vaccins #mensonges #liberté",,,,,[],https://twitter.com/richardvirgin13/status/1477286363091419150
33,Parlons.cash,@libre_service,2022-01-01T08:14:42.000Z,"Parlons.cash
@libre_service
·
1 Jan","Replying to 
@mglhrl
 and 
@Mandrinvienne
Télétoubibs principaux responsable de la suspicion sur les #vaccins. Alors qu’ils ne savaient rien ils ont raconté tout et n’importe quoi et son contraire sur fond de guerre d’égo.  
Y en a t’il un seul que se soit EXCUSÉ ? ils continuent et EN PLUS critiquent les sceptiques
1",,,,1,[],https://twitter.com/libre_service/status/1477191537977081856
34,Merry Socialist,@Socialistesque,2022-01-01T16:25:42.000Z,"Merry Socialist
@Socialistesque
·
1 Jan","Replying to 
@CLemardele
Moi j’ai peur des #vaccins  mon papa a 1 maladie des riens & après chaque dois ça s’empire - il refuse d’admettre qu’il peut avoir 1 lien avec ces doses. 

En + en juillet l’EU était censé enquêter sur ce sujet. Ils sont où les résultats de ces études?",🌹 🌹 🐭 😢,,,,[],https://twitter.com/Socialistesque/status/1477315101803921408
35,ARNOULD DUMA,@laguiloute,2022-01-01T14:19:01.000Z,"ARNOULD DUMA
@laguiloute
·
1 Jan","Replying to 
@Enfantdabord2
Un grand merci au Pr #Sabatier et à #FranceSoir pour toutes les informations sur les #vaccins, les anticorps de toutes natures, les risques de maladies. 
Je suggère à chacun de faire l'effort de lire les deux parties. On y trouve de bons conseils facilement applicables.",,,,,[],https://twitter.com/laguiloute/status/1477283224464285703
36,Patrick C M Carabin,@PatricarBel,2022-01-01T13:17:33.000Z,"Patrick C M Carabin
@PatricarBel
·
1 Jan","Replying to 
@denhass1
 and 
@RFI
Les #vaccins utilisés n'ont pas été correctement #testés avant(il faudrait #10ans),donc les #humains #vaccinés en 2021/2022 sont des #cobayes,et la plupart l' ignorent.
En PLUS, certains voudraient étendre les #tests aux #enfants, de plus en plus #jeunes.
C'est la triste #vérité.",,,,,[],https://twitter.com/PatricarBel/status/1477267752511590402
37,VieMeilleure,@VMeilleure,2022-01-01T14:48:31.000Z,"VieMeilleure
@VMeilleure
·
1 Jan","C'est vraiment le monde à l'envers. Les #nonVacccinés sont stigmatisés, harcelés, privés de leurs droits, alors qu'ils continuent à cotiser pour payer les tests (qui ne leur sont plus remboursés) et les #vaccins. Et malgré tout ça, il y a des #vaccinés qui râlent !",,,,,[],https://twitter.com/VMeilleure/status/1477290646880854017
38,AlBaniAlbainPierre,@vtlau1,2022-01-01T13:09:21.000Z,"AlBaniAlbainPierre
@vtlau1
·
1 Jan","Replying to 
@vtlau1
 and 
@KarmaGirl_73
Bref c pas un fiasco mais presque
C est le moment de passer aux traitements et d arrêter ce merdier de #PassVaccinalDeLaHonte puisque les #vaccins sont aléatoires et n en sont plus si tu dois faire #4emedose capiche ? ",Ⓜ 😂 Ⓜ 😏,,,,[],https://twitter.com/vtlau1/status/1477265689652117513
39,EVA REVE,@evarev1,2022-01-01T09:54:08.000Z,"EVA REVE
@evarev1
·
1 Jan","Replying to 
@DoktorYak
 and 
@evivyop
#ADE Facilitation de l’infection due aux anticorps 
Les #vaccins actuels ont fait l’erreur de cibler la protéine #Spike 
Étude de #ShiZhengli spécialiste mondiale des coronavirus 
Molecular Mechanism for Antibody-Dependent Enhancement of Coronavirus Entry
https://journals.asm.org/doi/pdf/10.1128/jvi.02015-19…",,,,,[],https://twitter.com/evarev1/status/1477216564248203268
40,Paix et liberté,@SmokovicJ,2022-01-01T09:40:04.000Z,"Paix et liberté
@SmokovicJ
·
1 Jan","Replying to 
@Corsu63
, 
@Contois90050225
 and 
@Macron2022
Quand vous êtes pour Macron vous avez le droit de ne pas porter le masque , comment il faut vous le dire, c'est  idem pour le #vaccins. Vous trouvez ça absurde ? nous aussi, alors sans hésitation votons pour #Zemmour2022 ",🙏 😇 👎 🙏 👍,,,,[],https://twitter.com/SmokovicJ/status/1477213021181296641
41,LValie,@LValie1,2022-01-01T16:10:37.000Z,"LValie
@LValie1
·
1 Jan","Replying to 
@11pistache
C'est une putain de blague #COVID19France #BonneAnnee #LREM #PasseVaccinal #vaccins #Macron20h https://twitter.com/Le_Figaro/status/1477243661306015748?t=BcAsPt4zjIRJ1t7G0fyZow&s=19… Parmi les nouveaux chevaliers de la Légion d'honneur, on retrouve la directrice exécutive de l'académie de l'#OMS et ancienne ministre de la #Santé Agnès #Buzyn.
Le Figaro
@Le_Figaro
 · 1 Jan
#LegionDhonneur  547 personnes distinguées, dont Agnès Buzyn et Jean-François Delfraissy https://lefigaro.fr/actualite-france/legion-d-honneur-547-personnes-distinguees-dont-agnes-buzyn-et-jean-francois-delfraissy-20220101?utm_medium=Social&utm_campaign=echobox&utm_source=Twitter&origine=VWT16001#Echobox=1641037308-1…
1
1",,1,1,,"['https://pbs.twimg.com/profile_images/1181777707920711680/L0KWKo11_mini.jpg', 'https://pbs.twimg.com/media/FIA5R_TXsAIsd1P?format=jpg&name=small']",https://twitter.com/LValie1/status/1477311308508934150
42,EVA REVE,@evarev1,2022-01-01T13:10:52.000Z,"EVA REVE
@evarev1
·
1 Jan","Replying to 
@faminifilm
#ADE 
Les #vaccins actuels ont fait l’erreur de cibler la protéine #Spike
Étude de #ShiZhengli spécialiste mondiale des coronavirus 
Mécanisme moléculaire pour la facilitation de l’infection dépendante des anticorps
https://journals.asm.org/doi/pdf/10.1128/jvi.02015-19…
2",,,2,,[],https://twitter.com/evarev1/status/1477266071258345472
43,Ely PERSY,@EPERSY,2022-01-01T13:06:11.000Z,"Ely PERSY
@EPERSY
·
1 Jan","@LCI
 @CNEWS
 @WHO
 @cnni
 @guardian
 @touteleurope
 @coe
 @vonderleyen
 @SharghDaily
 @RFI
  @PrAlainFischer
 @ordre_medecins
 @APHP
 @laFHF
 @FMFofficiel
 @LePoint
 @lopinion_fr
 @lesRepublicains
 INT.Pourquoi 2000 Chercheurs vs #Vaccins Muselés+500 Médecins Accusent en JUSTICE 
@olivierveran
 ???",,,,,[],https://twitter.com/EPERSY/status/1477264893472563200
44,JF,@JFVARS,2022-01-01T09:26:10.000Z,"JF
@JFVARS
·
1 Jan","Replying to 
@Mediavenir
La vaccination ça marche ! ;))
On dit merci au génie de l'
@Elysee
 et surtout au grand marabout 
@olivierveran
 !
Ces deux-là sont des pointures !
Ils sont pas prêts de s'arrêter de tourner lorsqu'ils seront mis en orbite.
La planète toute entière se marre.
#Macron #Véran #vaccins",,,,,[],https://twitter.com/JFVARS/status/1477209526176817152
45,Moun Aber,@Mounotella,2022-01-02T10:03:04.000Z,"Moun Aber
@Mounotella
·
2 Jan","#Danemark 80% de vaccinés, dont 99% des adultes, au mieux, le nombre des décès est proche de celui des vagues précédentes. Au pire, comme aux Iles Féroé, vaccinés à 82%, 100% des adultes, c'est à se demander si les #vaccins n'aggravent pas l'épidémie
4
71
143",,4,71,143,['https://pbs.twimg.com/media/FIFrhroXEAQqndF?format=png&name=small'],https://twitter.com/Mounotella/status/1477581198503329795
